,RHY,RHR,RHP,RKN,RAP,RAR,LHY,LHR,LHP,LKN,LAP,LAR,RSP,RSR,RSY,REB,RWY,RWR,RWP,LSP,LSR,LSY,LEB,LWY,LWR,LWP,NKY,NK1,NK2,WST,RF1,RF2,RF3,RF4,RF5,LF1,LF2,LF3,LF4,LF5
,,,-0.399427,+0.615375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.399851,+0.612750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.400274,+0.610125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.400698,+0.607500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.401122,+0.604875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.401545,+0.602250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.401969,+0.599625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.402392,+0.597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.402816,+0.594375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.403239,+0.591750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.403663,+0.589125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.404087,+0.586500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.404510,+0.583875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.404934,+0.581250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.405357,+0.578625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.405781,+0.576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.406205,+0.573375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.406628,+0.570750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.407052,+0.568125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.407475,+0.565500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.407899,+0.562875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.408323,+0.560250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.408746,+0.557625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.409170,+0.555000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.409593,+0.552375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.410017,+0.549750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.410440,+0.547125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.410864,+0.544500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.411288,+0.541875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.411711,+0.539250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.412135,+0.536625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.412558,+0.534000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.412982,+0.531375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.413406,+0.528750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.413829,+0.526125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.414253,+0.523500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.414676,+0.520875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.415100,+0.518250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.415523,+0.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.415947,+0.513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.416371,+0.510375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.416794,+0.507750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.417218,+0.505125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.417641,+0.502500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.418065,+0.499875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.418489,+0.497250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.418912,+0.494625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.419336,+0.492000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.419759,+0.489375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.420183,+0.486750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.420607,+0.484125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.421030,+0.481500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.421454,+0.478875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.421877,+0.476250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.422301,+0.473625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.422724,+0.471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.423148,+0.468375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.423572,+0.465750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.423995,+0.463125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.424419,+0.460500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.424842,+0.457875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.425266,+0.455250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.425690,+0.452625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.426113,+0.450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
